src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,burst_packet_lens,burst_packet_times,interval_packet_times,burst_packet_dirs,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,10.0.2.2,5555,58466,6,2022-11-07 17:22:05,142451.0,9498.002822023012,105.29936609781609,49.13970417898084,56.15966191883525,7,8,777,576,210.0,60.0,111.0,57.58223932528402,84.0,60.0,72.0,12.0,210,60,90.2,44.75146180107789,2002.6933333333334,140,160,20,4,10175.07142857143,41411.0,10.0,15760.271573368478,142451.0,42042.0,61.0,23741.833333333332,17853.366941249173,85639.0,80353.0,10.0,12234.142857142857,27841.39307079387,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,90.2,29200,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[120, 60, 84, 181, 60, 84, 60, 210, 60, 84, 60, 86, 60, 84, 60]","[0.0, 0.020258, 0.020283, 0.020374, 0.024348, 0.024358, 0.062416, 0.103827, 0.104711, 0.104927, 0.105033, 0.105094, 0.105606, 0.105897, 0.142451]","[20258.0, 25.0, 91.0, 3974.0, 10.0, 38058.0, 41411.0, 884.0, 216.0, 106.0, 61.0, 512.0, 291.0, 36554.0]","[1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1]",111.0,72.0,0,7,8,777,576
10.0.2.2,10.0.2.15,58450,32452,6,2022-11-07 17:22:05,286241.0,1879.535077085393,27.948476982682422,13.974238491341211,13.974238491341211,4,4,298,240,75.0,74.0,74.5,0.5,60.0,60.0,60.0,0.0,75,60,67.25,7.258615570478987,52.6875,80,80,20,4,40891.57142857143,268770.0,27.0,93106.558478302,286214.0,268816.0,8533.0,95404.66666666667,122620.4046433092,286157.0,268804.0,8526.0,95385.66666666667,122625.34105241958,0,0,0,0,1,0,0,0,0,0,0,1.0,67.25,65535,29200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,0.0,0.0,202.64557289301013,0.0,"[74, 60, 75, 60, 74, 60, 75, 60]","[0.0, 8.4e-05, 0.008865, 0.008911, 0.277681, 0.277715, 0.286214, 0.286241]","[84.0, 8781.0, 46.0, 268770.0, 34.0, 8499.0, 27.0]","[1, 2, 1, 2, 1, 2, 1, 2]",74.5,60.0,0,4,4,298,240
10.0.2.2,10.0.2.15,57774,17002,6,2022-11-07 17:22:05,5003003.0,312.0126052292993,2.9981992815115244,1.5990396168061463,1.3991596647053781,8,7,674,887,250.0,60.0,84.25,62.66129187943702,348.0,60.0,126.71428571428571,104.91998895173718,348,60,104.06666666666666,87.63596420546885,7680.062222222219,160,140,20,1,357357.35714285716,4996877.0,10.0,1286771.4217897446,5002986.0,4997370.0,25.0,714712.2857142857,1748387.954378197,5002950.0,4997883.0,371.0,833825.0,1862223.530898569,0,0,0,0,1,0,0,0,0,0,0,0.875,104.06666666666666,65535,30016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[64, 64, 60, 250, 60, 218, 60, 348, 60, 77, 60, 60, 60, 60, 60]","[0.0, 5.3e-05, 0.000639, 0.000664, 0.000674, 0.003471, 0.003806, 0.003842, 0.004371, 0.0044, 0.005406, 5.002283, 5.002776, 5.002986, 5.003003]","[53.0, 586.0, 25.0, 10.0, 2797.0, 335.0, 36.0, 529.0, 29.0, 1006.0, 4996877.0, 492.99999999999994, 210.0, 17.0]","[1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2]",84.25,126.71428571428571,0,8,7,674,887
10.0.2.2,10.0.2.15,57768,17002,6,2022-11-07 17:22:05,5483113.0,485.12587648658706,4.37707557732259,2.370915937716403,2.006159639606187,13,11,1386,1274,273.0,60.0,106.61538461538461,80.89170201956009,218.0,60.0,115.81818181818181,71.12705428484769,273,60,110.83333333333333,76.70814095576094,5884.13888888889,260,220,20,4,238396.21739130435,5000533.0,8.0,1017400.2846174402,5483095.0,5002450.0,264.0,456924.5833333333,1373207.009102018,5483065.0,5001354.0,186.0,548306.5,1487250.2271847364,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,110.83333333333333,65535,32160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[64, 64, 60, 273, 60, 209, 60, 218, 60, 72, 60, 195, 60, 272, 88, 60, 218, 60, 207, 60, 60, 60, 60, 60]","[0.0, 4.8e-05, 0.000832, 0.010804, 0.010869, 0.198126, 0.198278, 0.199402, 0.19958, 0.199588, 0.200288, 0.200327, 0.201144, 0.473191, 0.477147, 0.477351, 0.478662, 0.479552, 0.47956, 0.480381, 5.480914, 5.482831, 5.483095, 5.483113]","[48.0, 784.0, 9972.0, 65.0, 187257.0, 152.0, 1124.0, 178.0, 8.0, 700.0, 39.0, 817.0, 272047.0, 3956.0000000000005, 204.0, 1311.0, 890.0, 8.0, 821.0, 5000533.0, 1917.0, 264.0, 18.0]","[1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2]",106.61538461538461,115.81818181818181,0,13,11,1386,1274
10.0.2.2,10.0.2.15,57775,17002,6,2022-11-07 17:22:05,5281785.0,301.4132532846377,2.8399489945160585,1.5146394637418978,1.3253095307741607,8,7,863,729,282.0,60.0,107.875,83.37631183375767,218.0,60.0,104.14285714285714,68.60743102490237,282,60,106.13333333333334,76.86079769441783,5907.582222222224,160,140,20,2,377270.35714285716,4996534.0,8.0,1283071.110388698,5281774.0,5000337.0,45.0,754539.1428571428,1735888.8728074427,5281751.0,4997375.0,388.0,880291.8333333334,1843883.240839417,0,0,0,0,1,0,0,0,0,0,0,0.875,106.13333333333334,65535,31088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[64, 64, 60, 282, 60, 217, 60, 218, 60, 207, 60, 60, 60, 60, 60]","[0.0, 3.4e-05, 0.000369, 0.000414, 0.000422, 0.274405, 0.274489, 0.275042, 0.280256, 0.280342, 0.281183, 5.277717, 5.28152, 5.281774, 5.281785]","[34.0, 335.0, 45.0, 8.0, 273983.0, 84.0, 553.0, 5214.0, 86.0, 841.0, 4996534.0, 3803.0, 254.0, 11.0]","[1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2]",107.875,104.14285714285714,0,8,7,863,729
10.0.2.15,10.0.2.2,40573,32552,6,2022-11-07 17:22:05,16477623.999999998,384.2787042597889,0.7282603365630871,0.36413016828154354,0.36413016828154354,6,6,5618,714,2512.0,60.0,936.3333333333334,1121.1722535909555,178.0,60.0,119.0,59.0,2512,60,527.6666666666666,892.895601711396,797262.5555555559,120,120,20,3,1497965.8181818181,16431378.0,80.0,4722371.805928127,16477623.999999998,16431377.999999998,494.0,3295524.8,6567942.724231824,16477321.0,16470156.0,190.0,3295464.2,6587346.135017968,0,0,0,0,1,0,0,0,0,0,0,1.0,527.6666666666666,29200,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[414, 60, 178, 60, 2512, 60, 178, 60, 2512, 60, 178, 60]","[0.0, 0.000223, 0.000413, 0.000494, 0.004892, 0.005565, 0.006283, 0.04453, 16.475908, 16.476439, 16.477544, 16.477624]","[223.0, 190.0, 81.0, 4398.0, 673.0, 718.0, 38247.0, 16431377.999999998, 531.0, 1105.0, 80.0]","[1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1]",936.3333333333334,119.0,0,6,6,5618,714
10.0.2.15,42.186.110.59,41594,443,6,2022-11-07 17:22:05,16528817.0,624.7271053941731,2.1780143128210567,0.968006361253803,1.2100079515672537,16,20,4301,6025,945.0,60.0,268.8125,337.4354046980696,1480.0,60.0,301.25,416.0115232779015,1480,60,286.8333333333333,383.4227069726339,147012.97222222225,320,400,20,7,472251.9142857143,16075413.0,8.0,2676041.616534545,16528817.000000002,16075413.000000002,66.0,1101921.1333333335,4001997.926743389,16469118.000000002,16076160.000000002,108.0,866795.6842105264,3585004.619605217,0,0,0,0,1,0,0,0,0,0,0,1.25,286.8333333333333,29200,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3395.0,4.0,0.0,1385714.2857142857,"[80, 64, 60, 577, 60, 139, 60, 1480, 60, 1480, 60, 536, 60, 186, 60, 318, 113, 60, 945, 60, 158, 98, 60, 140, 363, 60, 911, 60, 102, 361, 60, 911, 60, 102, 362, 60]","[0.0, 0.059547, 0.059579, 0.059877, 0.061753, 0.108394, 0.108429, 0.109687, 0.109741, 0.110736, 0.110787, 0.110844, 0.110853, 0.114594, 0.122719, 0.168667, 0.16921, 0.169487, 0.169495, 0.16976, 0.214414, 0.215892, 0.216276, 0.261215, 0.26658, 0.266801, 0.267478, 0.272157, 0.393524, 0.401659, 0.401822, 16.477235, 16.477819, 16.522513, 16.528665, 16.528817]","[59547.0, 32.0, 298.0, 1876.0, 46641.0, 35.0, 1258.0, 54.0, 995.0, 51.0, 57.0, 9.0, 3741.0, 8125.0, 45948.0, 543.0, 277.0, 8.0, 265.0, 44654.0, 1478.0, 384.0, 44939.0, 5365.0, 221.0, 677.0, 4679.0, 121367.0, 8135.0, 163.0, 16075413.000000002, 584.0, 44694.0, 6152.0, 152.0]","[1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1]",268.8125,301.25,0,16,20,4301,6025
10.0.2.15,10.0.2.2,34458,32552,6,2022-11-07 17:22:05,16347545.0,179.96586031725252,1.1622540265220251,0.6117126455379079,0.5505413809841172,10,9,1926,1016,387.0,60.0,192.6,158.424240569428,178.0,60.0,112.88888888888889,58.24935754427672,387,60,154.8421052631579,128.06588072587556,16400.869806094182,200,180,20,4,908196.9444444445,15059538.0,24.0,3443453.88337184,16347545.0,15059538.0,117.0,1816393.888888889,4697355.382416802,16346878.0,15100022.0,391.0,2043359.75,4950980.109081654,0,0,0,0,1,0,0,0,0,0,0,0.9,154.8421052631579,29200,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[80, 64, 60, 387, 60, 178, 60, 386, 60, 178, 60, 386, 60, 178, 60, 387, 60, 178, 60]","[0.0, 0.000643, 0.000673, 0.00079, 0.001347, 0.001802, 0.00193, 0.021645, 0.025881, 0.026272, 0.066233, 15.125771, 15.126294, 15.126893, 15.126982, 16.346754, 16.347114, 16.347521, 16.347545]","[643.0, 30.0, 117.0, 557.0, 455.0, 128.0, 19715.0, 4236.0, 391.0, 39961.0, 15059538.0, 523.0, 599.0, 89.0, 1219772.0, 360.0, 407.0, 24.0]","[1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1]",192.6,112.88888888888889,0,10,9,1926,1016
10.0.2.2,10.0.2.15,57787,17002,6,2022-11-07 17:22:21,5015420.0,530.3643563250935,4.78524231270761,2.592006252716622,2.193236059990988,13,11,1386,1274,273.0,60.0,106.61538461538461,80.89170201956007,218.0,60.0,115.81818181818181,72.62959349493613,273,60,110.83333333333333,77.35075234856407,5983.13888888889,260,220,20,4,218061.73913043478,4996411.0,14.0,1018747.9923316026,5015398.0,4998518.0,177.0,417949.8333333333,1381094.2410986922,5015376.0,4996754.0,469.0,501537.6,1498406.2548909893,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,110.83333333333333,65535,32160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[64, 64, 60, 273, 60, 209, 60, 218, 60, 207, 60, 272, 88, 60, 218, 60, 63, 60, 204, 60, 60, 60, 60, 60]","[0.0, 4.4e-05, 0.000538, 0.00082, 0.000866, 0.002932, 0.002992, 0.005055, 0.005571, 0.00561, 0.006171, 0.009055, 0.009232, 0.011332, 0.014903, 0.015282, 0.015758, 0.016213, 0.016227, 0.01657, 5.012981, 5.015088, 5.015398, 5.01542]","[44.0, 494.0, 282.0, 46.0, 2066.0, 60.0, 2063.0, 516.0, 39.0, 561.0, 2884.0, 177.0, 2100.0, 3571.0, 379.0, 476.0, 455.0, 14.0, 343.0, 4996411.0, 2107.0, 310.0, 22.0]","[1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2]",106.61538461538461,115.81818181818181,0,13,11,1386,1274
212.79.111.155,10.0.2.15,5060,51184,17,2022-11-07 17:22:22,7486671.0,685.8856225951428,0.6678535760420085,0.6678535760420085,0.0,5,0,5135,0,1027.0,1027.0,1027.0,0.0,0.0,0.0,0.0,0.0,1027,1027,1027.0,0.0,0.0,40,0,8,5,1871667.75,3999866.0,484813.0,1344384.3532538183,7486671.0,3999866.0,484813.0,1871667.75,1344384.3532538183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1027.0,0,0,0.0,0.0,0.0,0.0,2002039.0,1997827.0,1999933.0,2106.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1027, 1027, 1027, 1027, 1027]","[0.0, 0.484813, 1.484766, 3.486805, 7.486671]","[484813.0, 999953.0, 2002039.0, 3999866.0]","[1, 1, 1, 1, 1]",1027.0,0.0,0,5,0,5135,0
